density,config,reshape_factor,pes,adaptive_rho,solve_index,solve_ms,status,mae,admm_iterations,pcg_iterations,r_prim,r_dual
medium,1024x1024_reshape8_pes20,8,20,0,5,116.06456999993497,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape8_pes20,8,20,1,1,197.9039200000443,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape8_pes20,8,20,1,2,197.92613000004167,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape8_pes20,8,20,1,3,197.91744000008293,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape8_pes20,8,20,1,4,197.91064000014558,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape8_pes20,8,20,1,5,197.9177000000618,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
high,1024x1024_reshape1_pes20,1,20,0,1,247.63310000003003,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape1_pes20,1,20,0,2,247.62894000014057,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape1_pes20,1,20,0,3,247.62753000004523,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape1_pes20,1,20,0,4,247.62697999994998,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape1_pes20,1,20,0,5,247.6266300000134,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape1_pes20,1,20,1,1,218.16491000004135,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
